,dt,open,close,high,low,vol,turnover,ts
0,2023-03-24 21:31:00,26.87,26.92,27.204,26.691,1427925,385981568.0,1679664660
1,2023-03-24 21:32:00,26.886,26.943,26.971,26.886,229172,62074336.0,1679664720
2,2023-03-24 21:33:00,26.907,26.84,26.907,26.803,246332,66560000.0,1679664780
3,2023-03-24 21:34:00,26.855,26.828,26.855,26.795,150577,40624480.0,1679664840
4,2023-03-24 21:35:00,26.843,26.851,26.858,26.81,140678,37996800.0,1679664900
5,2023-03-24 21:36:00,26.816,26.811,26.839,26.794,173482,46804864.0,1679664960
6,2023-03-24 21:37:00,26.797,26.769,26.797,26.769,179973,48495104.0,1679665020
7,2023-03-24 21:38:00,26.787,26.732,26.787,26.707,231005,62139392.0,1679665080
8,2023-03-24 21:39:00,26.72,26.76,26.768,26.72,161514,43464256.0,1679665140
9,2023-03-24 21:40:00,26.778,26.728,26.778,26.72,198348,53342144.0,1679665200
10,2023-03-24 21:41:00,26.693,26.656,26.707,26.656,243945,65490240.0,1679665260
11,2023-03-24 21:42:00,26.683,26.615,26.683,26.615,373246,100059072.0,1679665320
12,2023-03-24 21:43:00,26.601,26.561,26.601,26.561,303367,81138624.0,1679665380
13,2023-03-24 21:44:00,26.549,26.595,26.611,26.544,269948,72164864.0,1679665440
14,2023-03-24 21:45:00,26.585,26.604,26.604,26.579,195699,52370560.0,1679665500
15,2023-03-24 21:46:00,26.595,26.569,26.647,26.567,239100,63969152.0,1679665560
16,2023-03-24 21:47:00,26.605,26.534,26.605,26.515,351843,93967616.0,1679665620
17,2023-03-24 21:48:00,26.512,26.557,26.557,26.485,250025,66679168.0,1679665680
18,2023-03-24 21:49:00,26.527,26.513,26.566,26.513,162206,43296640.0,1679665740
19,2023-03-24 21:50:00,26.524,26.508,26.535,26.506,165831,44224896.0,1679665800
20,2023-03-24 21:51:00,26.511,26.588,26.588,26.503,209704,55958016.0,1679665860
21,2023-03-24 21:52:00,26.561,26.563,26.563,26.548,189758,50689024.0,1679665920
22,2023-03-24 21:53:00,26.556,26.599,26.599,26.541,218478,58396928.0,1679665980
23,2023-03-24 21:54:00,26.585,26.645,26.645,26.585,252205,67549056.0,1679666040
24,2023-03-24 21:55:00,26.608,26.599,26.609,26.595,135019,36135168.0,1679666100
25,2023-03-24 21:56:00,26.616,26.647,26.648,26.616,183277,49099392.0,1679666160
26,2023-03-24 21:57:00,26.676,26.679,26.679,26.662,230804,61933696.0,1679666220
27,2023-03-24 21:58:00,26.687,26.645,26.703,26.645,180382,48427392.0,1679666280
28,2023-03-24 21:59:00,26.655,26.673,26.673,26.633,138763,37198848.0,1679666340
29,2023-03-24 22:00:00,26.694,26.66,26.694,26.643,130091,34897792.0,1679666400
30,2023-03-24 22:01:00,26.629,26.653,26.679,26.629,125983,33776384.0,1679666460
31,2023-03-24 22:02:00,26.633,26.671,26.674,26.633,115329,30917760.0,1679666520
32,2023-03-24 22:03:00,26.646,26.647,26.656,26.598,167467,44850304.0,1679666580
33,2023-03-24 22:04:00,26.638,26.609,26.638,26.599,116815,31266304.0,1679666640
34,2023-03-24 22:05:00,26.599,26.616,26.628,26.597,87132,23325440.0,1679666700
35,2023-03-24 22:06:00,26.621,26.672,26.672,26.613,160744,43079680.0,1679666760
36,2023-03-24 22:07:00,26.67,26.624,26.71,26.624,231464,62085888.0,1679666820
37,2023-03-24 22:08:00,26.624,26.606,26.639,26.606,86157,23076096.0,1679666880
38,2023-03-24 22:09:00,26.572,26.528,26.572,26.528,266708,71221248.0,1679666940
39,2023-03-24 22:10:00,26.55,26.543,26.581,26.543,109638,29275136.0,1679667000
40,2023-03-24 22:11:00,26.563,26.579,26.579,26.559,78770,21033728.0,1679667060
41,2023-03-24 22:12:00,26.578,26.592,26.62,26.578,111632,29875200.0,1679667120
42,2023-03-24 22:13:00,26.607,26.633,26.653,26.607,150040,40195584.0,1679667180
43,2023-03-24 22:14:00,26.664,26.657,26.674,26.651,164004,43986944.0,1679667240
44,2023-03-24 22:15:00,26.648,26.592,26.648,26.592,170312,45630720.0,1679667300
45,2023-03-24 22:16:00,26.574,26.56,26.574,26.54,164452,43917056.0,1679667360
46,2023-03-24 22:17:00,26.567,26.539,26.568,26.539,163745,43706880.0,1679667420
47,2023-03-24 22:18:00,26.514,26.578,26.578,26.507,168841,45048064.0,1679667480
48,2023-03-24 22:19:00,26.598,26.602,26.602,26.541,292211,78216448.0,1679667540
49,2023-03-24 22:20:00,26.59,26.549,26.59,26.524,131163,35028480.0,1679667600
50,2023-03-24 22:21:00,26.571,26.504,26.571,26.504,136520,36414976.0,1679667660
51,2023-03-24 22:22:00,26.522,26.449,26.522,26.449,406452,108191744.0,1679667720
52,2023-03-24 22:23:00,26.472,26.464,26.472,26.412,184192,48996864.0,1679667780
53,2023-03-24 22:24:00,26.467,26.435,26.467,26.43,181697,48345600.0,1679667840
54,2023-03-24 22:25:00,26.415,26.4,26.431,26.4,187714,49902848.0,1679667900
55,2023-03-24 22:26:00,26.468,26.444,26.483,26.444,210546,56032768.0,1679667960
56,2023-03-24 22:27:00,26.451,26.502,26.51,26.451,232131,61812736.0,1679668020
57,2023-03-24 22:28:00,26.51,26.504,26.51,26.491,101267,26986752.0,1679668080
58,2023-03-24 22:29:00,26.486,26.527,26.527,26.472,127934,34092288.0,1679668140
59,2023-03-24 22:30:00,26.586,26.56,26.586,26.541,150575,40215808.0,1679668200
60,2023-03-24 22:31:00,26.549,26.573,26.58,26.548,136726,36523008.0,1679668260
61,2023-03-24 22:32:00,26.591,26.57,26.594,26.566,126869,33919744.0,1679668320
62,2023-03-24 22:33:00,26.563,26.528,26.563,26.528,89729,23958016.0,1679668380
