,dt,open,close,high,low,vol,turnover,ts
0,2023-02-03 22:31:00,20.799,20.624,21.351,20.603,1952552,411387648.0,1675434660
1,2023-02-03 22:32:00,20.642,20.779,20.779,20.629,388931,81193664.0,1675434720
2,2023-02-03 22:33:00,20.786,20.882,20.882,20.786,389038,81851776.0,1675434780
3,2023-02-03 22:34:00,20.878,20.846,20.914,20.835,304327,64159808.0,1675434840
4,2023-02-03 22:35:00,20.819,20.843,20.886,20.819,197329,41531136.0,1675434900
5,2023-02-03 22:36:00,20.799,20.794,20.799,20.722,284807,59726080.0,1675434960
6,2023-02-03 22:37:00,20.78,20.771,20.823,20.771,217238,45616832.0,1675435020
7,2023-02-03 22:38:00,20.759,20.79,20.79,20.733,204860,42934272.0,1675435080
8,2023-02-03 22:39:00,20.791,20.779,20.822,20.762,180264,37837760.0,1675435140
9,2023-02-03 22:40:00,20.749,20.861,20.861,20.749,202699,42567040.0,1675435200
10,2023-02-03 22:41:00,20.834,20.96,20.96,20.823,344333,72583296.0,1675435260
11,2023-02-03 22:42:00,20.965,20.921,20.965,20.904,291560,61626880.0,1675435320
12,2023-02-03 22:43:00,20.915,20.951,20.979,20.915,254307,53787648.0,1675435380
13,2023-02-03 22:44:00,20.926,20.965,20.982,20.926,164049,34704768.0,1675435440
14,2023-02-03 22:45:00,20.963,20.964,21.018,20.939,239260,50684160.0,1675435500
15,2023-02-03 22:46:00,20.943,21.018,21.039,20.936,303095,64260480.0,1675435560
16,2023-02-03 22:47:00,20.996,21.133,21.133,20.996,344799,73329920.0,1675435620
17,2023-02-03 22:48:00,21.127,21.195,21.195,21.127,221517,47311104.0,1675435680
18,2023-02-03 22:49:00,21.174,21.199,21.199,21.159,232960,49808128.0,1675435740
19,2023-02-03 22:50:00,21.189,21.228,21.231,21.168,234940,50318848.0,1675435800
20,2023-02-03 22:51:00,21.175,21.275,21.275,21.175,252795,54118400.0,1675435860
21,2023-02-03 22:52:00,21.292,21.213,21.292,21.207,220839,47380224.0,1675435920
22,2023-02-03 22:53:00,21.181,21.239,21.239,21.181,189703,40626304.0,1675435980
23,2023-02-03 22:54:00,21.255,21.296,21.296,21.255,304648,65466240.0,1675436040
24,2023-02-03 22:55:00,21.306,21.358,21.358,21.306,248366,53470848.0,1675436100
25,2023-02-03 22:56:00,21.357,21.351,21.366,21.328,251408,54176384.0,1675436160
26,2023-02-03 22:57:00,21.315,21.387,21.387,21.315,291431,62853632.0,1675436220
27,2023-02-03 22:58:00,21.355,21.327,21.355,21.322,238951,51478784.0,1675436280
28,2023-02-03 22:59:00,21.312,21.288,21.312,21.288,213050,45810176.0,1675436340
29,2023-02-03 23:00:00,21.315,21.317,21.35,21.315,166993,35962880.0,1675436400
30,2023-02-03 23:01:00,21.216,21.226,21.243,21.193,349195,74791808.0,1675436460
31,2023-02-03 23:02:00,21.264,21.176,21.264,21.176,159227,34125824.0,1675436520
32,2023-02-03 23:03:00,21.238,21.193,21.238,21.155,171489,36682880.0,1675436580
33,2023-02-03 23:04:00,21.218,21.263,21.266,21.218,167196,35864064.0,1675436640
34,2023-02-03 23:05:00,21.284,21.235,21.284,21.231,169286,36336384.0,1675436700
35,2023-02-03 23:06:00,21.197,21.157,21.246,21.157,174469,37346048.0,1675436760
36,2023-02-03 23:07:00,21.194,21.173,21.24,21.173,111916,23970048.0,1675436820
37,2023-02-03 23:08:00,21.223,21.207,21.241,21.184,176774,37862656.0,1675436880
38,2023-02-03 23:09:00,21.171,21.224,21.224,21.17,209489,44824320.0,1675436940
39,2023-02-03 23:10:00,21.223,21.247,21.248,21.222,167401,35904768.0,1675437000
