,dt,open,close,high,low,vol,turnover,ts
0,2022-04-11 21:31:00,21.893,21.815,22.464,21.766,2620667,582968576.0,1649683860
1,2022-04-11 21:32:00,21.859,21.718,21.859,21.718,470839,104138304.0,1649683920
2,2022-04-11 21:33:00,21.72,21.68,21.723,21.68,529753,116634368.0,1649683980
3,2022-04-11 21:34:00,21.658,21.638,21.672,21.622,596294,131040320.0,1649684040
4,2022-04-11 21:35:00,21.67,21.654,21.67,21.637,349518,76823232.0,1649684100
5,2022-04-11 21:36:00,21.662,21.711,21.722,21.652,389800,85810880.0,1649684160
6,2022-04-11 21:37:00,21.715,21.738,21.779,21.715,368356,81334144.0,1649684220
7,2022-04-11 21:38:00,21.77,21.684,21.77,21.684,241168,53173376.0,1649684280
8,2022-04-11 21:39:00,21.746,21.679,21.746,21.655,273783,60304000.0,1649684340
9,2022-04-11 21:40:00,21.699,21.603,21.699,21.6,437675,96162048.0,1649684400
10,2022-04-11 21:41:00,21.627,21.586,21.627,21.586,370503,81263616.0,1649684460
11,2022-04-11 21:42:00,21.592,21.592,21.663,21.563,374417,82096128.0,1649684520
12,2022-04-11 21:43:00,21.626,21.672,21.679,21.626,260034,57164416.0,1649684580
13,2022-04-11 21:44:00,21.679,21.74,21.746,21.676,302436,66595840.0,1649684640
14,2022-04-11 21:45:00,21.794,21.789,21.796,21.757,437865,96800640.0,1649684700
15,2022-04-11 21:46:00,21.77,21.817,21.823,21.769,301293,66649344.0,1649684760
16,2022-04-11 21:47:00,21.849,21.791,21.877,21.791,304722,67535104.0,1649684820
17,2022-04-11 21:48:00,21.784,21.881,21.881,21.775,351331,77790464.0,1649684880
18,2022-04-11 21:49:00,21.901,21.875,21.928,21.875,304438,67635072.0,1649684940
19,2022-04-11 21:50:00,21.877,21.85,21.879,21.85,202598,44955136.0,1649685000
20,2022-04-11 21:51:00,21.817,21.837,21.887,21.817,294305,65265664.0,1649685060
21,2022-04-11 21:52:00,21.836,21.779,21.836,21.771,189559,41944064.0,1649685120
22,2022-04-11 21:53:00,21.739,21.775,21.797,21.739,186856,41284352.0,1649685180
23,2022-04-11 21:54:00,21.776,21.79,21.833,21.776,161589,35758848.0,1649685240
24,2022-04-11 21:55:00,21.813,21.716,21.813,21.695,217780,48092928.0,1649685300
25,2022-04-11 21:56:00,21.686,21.685,21.711,21.668,225620,49696256.0,1649685360
26,2022-04-11 21:57:00,21.685,21.695,21.716,21.685,159350,35105792.0,1649685420
27,2022-04-11 21:58:00,21.706,21.744,21.744,21.706,132973,29312256.0,1649685480
28,2022-04-11 21:59:00,21.72,21.711,21.736,21.711,170829,37682432.0,1649685540
29,2022-04-11 22:00:00,21.695,21.671,21.695,21.644,248240,54599680.0,1649685600
30,2022-04-11 22:01:00,21.677,21.697,21.697,21.651,206076,45323264.0,1649685660
31,2022-04-11 22:02:00,21.716,21.885,21.885,21.716,382051,84579584.0,1649685720
32,2022-04-11 22:03:00,21.912,21.868,21.912,21.866,270528,60108032.0,1649685780
