,dt,open,close,high,low,vol,turnover,ts
0,2023-06-07 21:31:00,38.794,39.008,39.008,38.291,1418110,551836032.0,1686144660
1,2023-06-07 21:32:00,39.022,39.084,39.139,39.012,435280,170618304.0,1686144720
2,2023-06-07 21:33:00,39.154,39.261,39.261,39.154,348058,136828096.0,1686144780
3,2023-06-07 21:34:00,39.292,39.194,39.306,39.194,421598,166084544.0,1686144840
4,2023-06-07 21:35:00,39.221,39.304,39.309,39.221,285528,112461632.0,1686144900
5,2023-06-07 21:36:00,39.315,39.223,39.315,39.218,246311,96989312.0,1686144960
6,2023-06-07 21:37:00,39.223,39.182,39.24,39.178,205843,80936448.0,1686145020
7,2023-06-07 21:38:00,39.232,39.19,39.232,39.162,190191,74779520.0,1686145080
8,2023-06-07 21:39:00,39.196,39.119,39.196,39.119,191357,75171072.0,1686145140
9,2023-06-07 21:40:00,39.101,39.07,39.142,39.07,190892,74883456.0,1686145200
10,2023-06-07 21:41:00,39.023,39.095,39.095,39.022,219958,86151936.0,1686145260
11,2023-06-07 21:42:00,39.15,39.179,39.198,39.145,259843,102070528.0,1686145320
12,2023-06-07 21:43:00,39.174,39.133,39.174,39.077,135451,53166464.0,1686145380
13,2023-06-07 21:44:00,39.158,39.229,39.229,39.158,213224,83810944.0,1686145440
14,2023-06-07 21:45:00,39.214,39.246,39.252,39.214,254970,100342784.0,1686145500
15,2023-06-07 21:46:00,39.245,39.286,39.346,39.245,374584,147629824.0,1686145560
16,2023-06-07 21:47:00,39.246,39.239,39.259,39.208,153246,60361856.0,1686145620
17,2023-06-07 21:48:00,39.221,39.272,39.272,39.221,122343,48217856.0,1686145680
18,2023-06-07 21:49:00,39.267,39.267,39.267,39.253,133849,52781824.0,1686145740
19,2023-06-07 21:50:00,39.25,39.249,39.263,39.242,132264,52139520.0,1686145800
20,2023-06-07 21:51:00,39.257,39.338,39.338,39.223,213069,84020480.0,1686145860
21,2023-06-07 21:52:00,39.32,39.359,39.362,39.32,289050,114146048.0,1686145920
22,2023-06-07 21:53:00,39.331,39.317,39.378,39.275,178566,70484480.0,1686145980
23,2023-06-07 21:54:00,39.31,39.205,39.319,39.167,217750,85742336.0,1686146040
24,2023-06-07 21:55:00,39.174,39.094,39.176,39.094,203750,80038656.0,1686146100
25,2023-06-07 21:56:00,39.121,39.182,39.182,39.121,174716,68671232.0,1686146160
26,2023-06-07 21:57:00,39.177,39.064,39.202,39.064,173937,68351232.0,1686146220
27,2023-06-07 21:58:00,39.089,39.052,39.089,39.033,182480,71563008.0,1686146280
28,2023-06-07 21:59:00,39.078,39.063,39.125,39.051,157597,61851904.0,1686146340
29,2023-06-07 22:00:00,39.051,39.086,39.1,39.051,204541,80212992.0,1686146400
30,2023-06-07 22:01:00,39.11,39.175,39.175,39.089,162175,63693056.0,1686146460
31,2023-06-07 22:02:00,39.174,39.128,39.174,39.128,96343,37889024.0,1686146520
32,2023-06-07 22:03:00,39.163,39.06,39.163,39.06,135603,53264384.0,1686146580
33,2023-06-07 22:04:00,39.064,39.053,39.086,39.031,152600,59834368.0,1686146640
34,2023-06-07 22:05:00,39.066,39.054,39.066,39.005,157735,61814528.0,1686146700
35,2023-06-07 22:06:00,39.046,39.078,39.114,39.046,177916,69814016.0,1686146760
36,2023-06-07 22:07:00,39.086,39.089,39.092,39.058,107110,42054912.0,1686146820
37,2023-06-07 22:08:00,39.082,39.105,39.124,39.081,112093,44029440.0,1686146880
38,2023-06-07 22:09:00,39.112,39.109,39.116,39.08,85714,33678336.0,1686146940
39,2023-06-07 22:10:00,39.124,39.143,39.151,39.118,191484,75221248.0,1686147000
40,2023-06-07 22:11:00,39.121,39.242,39.242,39.121,256127,100749056.0,1686147060
41,2023-06-07 22:12:00,39.24,39.235,39.265,39.19,182792,72018432.0,1686147120
42,2023-06-07 22:13:00,39.233,39.224,39.261,39.187,106565,42000128.0,1686147180
43,2023-06-07 22:14:00,39.208,39.189,39.219,39.189,114783,45206016.0,1686147240
44,2023-06-07 22:15:00,39.179,39.116,39.179,39.094,129160,50769920.0,1686147300
45,2023-06-07 22:16:00,39.088,38.972,39.088,38.972,227433,89080064.0,1686147360
46,2023-06-07 22:17:00,38.998,39.011,39.014,38.998,129260,50627840.0,1686147420
47,2023-06-07 22:18:00,39.012,39.038,39.038,39.011,99827,39124736.0,1686147480
48,2023-06-07 22:19:00,39.046,39.008,39.046,39.005,75788,29731328.0,1686147540
49,2023-06-07 22:20:00,39.005,38.977,39.02,38.977,91471,35847680.0,1686147600
50,2023-06-07 22:21:00,38.955,38.963,38.998,38.955,112615,44091136.0,1686147660
51,2023-06-07 22:22:00,38.952,38.924,38.952,38.911,173260,67716096.0,1686147720
52,2023-06-07 22:23:00,38.92,38.868,38.92,38.859,352966,138052608.0,1686147780
53,2023-06-07 22:24:00,38.863,38.848,38.863,38.833,173580,67693568.0,1686147840
54,2023-06-07 22:25:00,38.82,38.8,38.82,38.779,185396,72251904.0,1686147900
55,2023-06-07 22:26:00,38.762,38.706,38.762,38.691,223225,86860288.0,1686147960
