,dt,open,close,high,low,vol,ts
0,2024-01-03 22:31:00,143.78,144.87,144.87,143.56,151168,1704292260
1,2024-01-03 22:32:00,144.93,145.06,145.06,144.76,26092,1704292320
2,2024-01-03 22:33:00,144.96,144.595,144.96,144.579,10455,1704292380
3,2024-01-03 22:34:00,144.652,144.57,144.68,144.57,10071,1704292440
4,2024-01-03 22:35:00,144.6,144.66,144.66,144.487,11279,1704292500
5,2024-01-03 22:36:00,144.56,144.79,144.79,144.54,19668,1704292560
6,2024-01-03 22:37:00,144.96,145.316,145.426,144.96,33947,1704292620
7,2024-01-03 22:38:00,145.32,145.48,145.496,145.3,16964,1704292680
8,2024-01-03 22:39:00,145.43,146.457,146.457,145.43,44464,1704292740
9,2024-01-03 22:40:00,146.67,146.95,146.95,146.67,72029,1704292800
10,2024-01-03 22:41:00,146.82,146.905,146.96,146.77,27009,1704292860
11,2024-01-03 22:42:00,147.02,147.38,147.425,147.02,51028,1704292920
12,2024-01-03 22:43:00,147.175,146.81,147.435,146.81,60362,1704292980
13,2024-01-03 22:44:00,146.5,146.915,146.915,146.5,25196,1704293040
14,2024-01-03 22:45:00,147.05,147.13,147.26,147.05,30295,1704293100
15,2024-01-03 22:46:00,147.07,147.08,147.225,147.07,32608,1704293160
16,2024-01-03 22:47:00,146.93,147.17,147.17,146.93,27684,1704293220
17,2024-01-03 22:48:00,147.105,147.525,147.55,147.105,74848,1704293280
18,2024-01-03 22:49:00,147.51,148.02,148.02,147.5,53808,1704293340
19,2024-01-03 22:50:00,148.04,148.235,148.33,148.04,45631,1704293400
20,2024-01-03 22:51:00,148.29,148.77,148.77,148.29,79020,1704293460
21,2024-01-03 22:52:00,148.68,148.365,148.75,148.365,79901,1704293520
22,2024-01-03 22:53:00,148.235,148.75,148.8,148.235,60873,1704293580
23,2024-01-03 22:54:00,148.75,149.12,149.12,148.75,91939,1704293640
24,2024-01-03 22:55:00,149.15,149.57,149.6,149.15,107810,1704293700
25,2024-01-03 22:56:00,149.47,149.805,150.07,149.47,136323,1704293760
26,2024-01-03 22:57:00,149.875,149.36,149.875,149.36,76450,1704293820
27,2024-01-03 22:58:00,149.375,149.327,149.635,149.295,48297,1704293880
28,2024-01-03 22:59:00,149.28,149.815,149.815,149.235,59885,1704293940
29,2024-01-03 23:00:00,150.02,150.01,150.14,149.98,116860,1704294000
30,2024-01-03 23:01:00,149.91,149.26,149.91,149.23,60545,1704294060
