,0
code,AAPL
trade_days,44
win_days,17
win_sells,21
lose_sells,35
max_1d_profit,297.30199999998763
max_1d_lost,-436.95999999999333
start_day,20240102
end_day,20240830
start_cash,100000
end_cash,99676.7850000001
total_profit_rate,-0.00323214999999899
buy_nums,57
sell_nums,56
avg_win_sell_profit,88.72099999999871
avg_lose_sell_profit,-62.467314285713435
