,dt_1D,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,20210712,143.42,141.71,143.43,141.232,76299720,11041144832.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,20210713,141.24,142.85,144.665,140.62,100827096,14716527616.0,0.015,0.059,,,,0,0,0,0,0,0,0,0,
2,20210714,145.31,146.36,146.76,142.486,127050784,18893492224.0,0.077,0.287,,,,0,0,0,0,0,0,0,0,
3,20210715,146.45,145.69,147.2,144.333,106820296,15865161728.0,0.126,0.426,,,,0,0,0,0,0,0,0,0,
4,20210716,145.67,143.6,146.94,143.02,94827744,13759898624.0,0.145,0.42,,,,0,0,0,0,0,0,0,0,
5,20210719,140.96,139.66,143.01,138.892,121434568,17306271744.0,0.108,0.205,,,,0,0,0,0,0,0,0,0,
6,20210720,140.67,143.36,144.273,139.96,96715560,14017081344.0,0.124,0.228,,,,0,0,0,0,0,0,0,0,
7,20210721,142.74,142.61,143.72,141.919,75342592,10948163584.0,0.129,0.203,,,,0,0,1,1,0,0,0,0,
8,20210722,143.145,144.01,145.4,142.73,77338160,11357458432.0,0.152,0.254,,,,0,0,0,0,0,0,0,0,
9,20210723,144.76,145.77,145.915,144.205,71447416,10568218624.0,0.197,0.382,,,,0,0,0,0,0,0,0,0,
10,20210726,145.48,146.2,147.015,144.61,72434088,10787068928.0,0.246,0.499,,,,0,0,0,0,0,0,0,0,
11,20210727,146.33,143.98,146.71,139.76,104818576,15291069440.0,0.261,0.468,,,,0,0,0,0,0,0,0,0,
12,20210728,142.02,142.19,144.13,139.79,118931192,17222033408.0,0.251,0.345,,,,0,0,0,0,0,0,0,0,
13,20210729,141.895,142.85,143.755,141.54,56699476,8248108032.0,0.251,0.279,,,,0,0,1,0,0,0,0,0,
14,20210730,141.59,143.07,143.528,141.21,70440624,10241835008.0,0.253,0.235,,,,0,0,0,0,0,0,0,0,
15,20210802,143.57,142.73,144.16,142.47,62879960,9353617408.0,0.251,0.181,,,,0,0,0,0,0,0,0,0,
