,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao
0,2024-02-06 22:31:00,428.275,428.754,428.754,426.585,1153195.0,495019264.0,1707229860,,,,,,,,,,,90.86008088663321,63.083722460844996,0.44514285714284696,81.16913562356424,5.538937565513466
1,2024-02-06 22:32:00,428.845,428.605,428.845,428.475,238453.0,102534400.0,1707229920,,,,,,,,,,,93.53131462396308,63.083722460844996,0.44514285714284696,81.16913562356424,60.046235161210284
2,2024-02-06 22:33:00,428.585,428.256,428.585,428.145,209149.0,89862656.0,1707229980,,,,,,,,,,,92.88857898037861,63.083722460844996,0.44514285714284696,81.16913562356424,66.83030665067685
3,2024-02-06 22:34:00,428.235,428.12,428.245,428.12,135792.0,58327360.0,1707230040,,,,,,,,,,,91.09441109605672,63.083722460844996,0.44514285714284696,81.16913562356424,64.81200007566632
4,2024-02-06 22:35:00,428.045,428.085,428.085,427.875,171662.0,73701056.0,1707230100,,,,,,,,,,,89.132527172524,63.19885853319843,0.589428571428564,81.16913562356424,60.32840810881675
5,2024-02-06 22:36:00,427.825,427.735,427.825,427.525,222312.0,95385728.0,1707230160,,,,,,,,,,,84.36266362448504,63.19885853319843,0.589428571428564,81.16913562356424,55.27762454810852
6,2024-02-06 22:37:00,427.705,427.535,427.775,427.525,145972.0,62621184.0,1707230220,,,,,,,,,,,78.36754390564415,63.19885853319843,0.589428571428564,81.16913562356424,36.51306337867338
7,2024-02-06 22:38:00,427.435,427.405,427.585,427.365,129704.0,55617920.0,1707230280,,,,,,,,,,,71.88434060203605,63.19885853319843,0.589428571428564,81.16913562356424,1.209847300182609
8,2024-02-06 22:39:00,427.465,427.595,427.739,427.465,88244.0,37852736.0,1707230340,,,,,,,,,,,67.68520914652642,63.19885853319843,0.589428571428564,81.16913562356424,-31.278555384915364
9,2024-02-06 22:40:00,427.665,427.655,427.815,427.655,117597.0,50452416.0,1707230400,,,,,,,,,,,64.43247396028465,59.53281351616158,0.6294285714285601,81.16913562356424,-36.45915098152453
