,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao
0,2023-08-24 21:31:00,89.51,89.64,90.9,89.47,385176,1692883860,,,,,,,,,,,7.591069036312831,-18.775651686629914,105.83662521851193,-59.448334435076
1,2023-08-24 21:32:00,89.67,89.36,89.74,89.36,186821,1692883920,,,,,,,,,,,10.498341243536558,-18.775651686629914,105.83662521851193,67.12786236205017
2,2023-08-24 21:33:00,89.4,89.368,89.556,89.25,85287,1692883980,,,,,,,,,,,13.183727039087813,-18.775651686629914,105.83662521851193,72.8166540311667
3,2023-08-24 21:34:00,89.335,89.186,89.335,89.186,101764,1692884040,,,,,,,,,,,13.992205480232904,-18.775651686629914,105.83662521851193,74.80796868946575
4,2023-08-24 21:35:00,89.092,89.35,89.35,89.07,92803,1692884100,,,,,,,,,,,16.172029268652096,-15.599276187759543,105.83662521851193,70.8090359500843
5,2023-08-24 21:36:00,89.33,89.35,89.44,89.33,55781,1692884160,,,,,,,,,,,18.12600643235404,-15.599276187759543,105.83662521851193,72.44294132233148
6,2023-08-24 21:37:00,89.276,89.53,89.53,89.23,78410,1692884220,,,,,,,,,,,21.45981520512931,-15.599276187759543,105.83662521851193,72.82363691361502
7,2023-08-24 21:38:00,89.6,89.67,89.78,89.6,123651,1692884280,,,,,,,,,,,25.665381509771727,-15.599276187759543,105.83662521851193,76.1062807136332
8,2023-08-24 21:39:00,89.71,89.9,89.9,89.71,161903,1692884340,,,,,,,,,,,31.43295464405604,-15.599276187759543,105.83662521851193,78.71500143660715
9,2023-08-24 21:40:00,89.785,89.705,89.89,89.705,58596,1692884400,,,,,,,,,,,34.83972309033596,-9.509513860044237,105.83662521851193,81.07834296870425
10,2023-08-24 21:41:00,89.7,89.86,89.86,89.7,84117,1692884460,,,,,,,,,,,39.21732586855564,-9.509513860044237,105.83662521851193,80.58639657799488
11,2023-08-24 21:42:00,89.86,89.6,89.865,89.6,60236,1692884520,,,,,,,,,,,40.79803332682005,-9.509513860044237,105.83662521851193,80.85879717329023
12,2023-08-24 21:43:00,89.62,89.474,89.66,89.474,62192,1692884580,,,,,,,,,,,41.06219054920584,-9.509513860044237,105.83662521851193,78.934133285826
13,2023-08-24 21:44:00,89.575,89.63,89.63,89.575,47669,1692884640,,,,,,,,,,,42.63606949714913,-9.509513860044237,105.83662521851193,75.61406246159099
14,2023-08-24 21:45:00,89.63,89.35,89.63,89.35,39882,1692884700,,,,,,,,,,,41.53598127048334,-7.089169040177055,105.83662521851193,74.55903100326918
15,2023-08-24 21:46:00,89.361,89.43,89.43,89.275,46096,1692884760,,,,,,,,,,,41.22461905046819,-7.089169040177055,105.83662521851193,67.79600123193923
16,2023-08-24 21:47:00,89.495,89.47,89.52,89.45,65975,1692884820,,,,,,,,,,,41.26581515337369,-7.089169040177055,105.83662521851193,62.9386541361827
17,2023-08-24 21:48:00,89.54,89.55,89.605,89.54,77394,1692884880,,,,,,,,,,,41.974416705047894,-7.089169040177055,105.83662521851193,60.12417244014553
18,2023-08-24 21:49:00,89.54,89.499,89.54,89.41,42056,1692884940,,,,,,,,,,,42.12392602959088,-7.089169040177055,105.83662521851193,61.110984891528005
19,2023-08-24 21:50:00,89.525,89.44,89.54,89.44,26357,1692885000,,,,,,,,,,,41.70483823938181,-4.029661501819419,105.83662521851193,58.93224827047809
20,2023-08-24 21:51:00,89.42,89.42,89.49,89.42,23815,1692885060,,,,,,,,,,,41.12368940597442,-4.029661501819419,105.83662521851193,53.60407384739432
21,2023-08-24 21:52:00,89.46,89.6,89.6,89.46,118918,1692885120,,,,,,,,,,,42.16124674783651,-4.029661501819419,105.83662521851193,47.33577098495541
22,2023-08-24 21:53:00,89.6,89.47,89.6,89.47,39107,1692885180,,,,,,,,,,,41.910973287924584,-4.029661501819419,105.83662521851193,54.67194795169912
23,2023-08-24 21:54:00,89.51,89.56,89.56,89.48,39723,1692885240,,,,,,,,,,,42.45087473184771,-4.029661501819419,105.83662521851193,50.44050036716377
24,2023-08-24 21:55:00,89.6,89.51,89.6,89.49,46302,1692885300,,,,,,,,,,,42.462165021579,-0.5846761220483074,105.83662521851193,52.7063659893449
25,2023-08-24 21:56:00,89.48,89.42,89.49,89.42,30822,1692885360,,,,,,,,,,,41.65040688114203,-0.5846761220483074,105.83662521851193,50.3970360798636
26,2023-08-24 21:57:00,89.31,89.45,89.48,89.31,52226,1692885420,,,,,,,,,,,41.16369237991785,-0.5846761220483074,105.83662521851193,41.16335278456446
27,2023-08-24 21:58:00,89.51,89.62,89.62,89.51,50671,1692885480,,,,,,,,,,,42.20140948360431,-0.5846761220483074,105.83662521851193,36.20428176667497
28,2023-08-24 21:59:00,89.645,89.55,89.66,89.55,104834,1692885540,,,,,,,,,,,42.483610773845925,-0.5846761220483074,105.83662521851193,47.30692927966055
29,2023-08-24 22:00:00,89.53,89.65,89.66,89.53,57512,1692885600,,,,,,,,,,,43.58926651862085,3.8116166150926887,105.17010364572607,47.50774895913008
30,2023-08-24 22:01:00,89.738,89.65,89.738,89.65,122207,1692885660,,,,,,,,,,,44.54711350893783,3.8116166150926887,105.17010364572607,53.15493218116093
31,2023-08-24 22:02:00,89.52,89.59,89.59,89.475,59361,1692885720,,,,,,,,,,,44.84352773445182,3.8116166150926887,105.17010364572607,55.45594587013727
32,2023-08-24 22:03:00,89.62,89.64,89.66,89.62,53907,1692885780,,,,,,,,,,,45.51892034727688,3.8116166150926887,105.17010364572607,53.23554223353392
33,2023-08-24 22:04:00,89.572,89.49,89.572,89.49,45175,1692885840,,,,,,,,,,,44.77029142548097,3.8116166150926887,105.17010364572607,53.77312433436463
34,2023-08-24 22:05:00,89.53,89.55,89.55,89.49,34587,1692885900,,,,,,,,,,,44.60324916145327,6.93206724265238,105.17010364572607,44.38951280104683
35,2023-08-24 22:06:00,89.519,89.534,89.534,89.519,23124,1692885960,,,,,,,,,,,44.286535456555015,6.93206724265238,105.17010364572607,41.0116852877686
36,2023-08-24 22:07:00,89.54,89.417,89.54,89.409,32400,1692886020,,,,,,,,,,,42.94806857502286,6.93206724265238,105.17010364572607,36.7093685887552
37,2023-08-24 22:08:00,89.42,89.37,89.42,89.34,42616,1692886080,,,,,,,,,,,41.318014211764215,6.93206724265238,105.17010364572607,20.386157559998637
38,2023-08-24 22:09:00,89.34,89.22,89.34,89.195,41197,1692886140,,,,,,,,,,,38.52445596778933,6.93206724265238,105.17010364572607,1.0788968936997867
39,2023-08-24 22:10:00,89.17,89.1,89.19,89.09,36596,1692886200,,,,,,,,,,,34.96325932308373,5.824330376287051,105.17010364572607,-29.42854488330869
40,2023-08-24 22:11:00,89.09,88.996,89.09,88.996,67562,1692886260,,,,,,,,,,,30.865525724195294,5.824330376287051,105.17010364572607,-50.61017141865595
41,2023-08-24 22:12:00,89.025,88.98,89.045,88.976,74098,1692886320,,,,,,,,,,,27.07233320990816,5.824330376287051,105.17010364572607,-62.01344722504036
42,2023-08-24 22:13:00,89.01,89.06,89.06,89.01,21170,1692886380,,,,,,,,,,,24.403479951859794,5.824330376287051,105.17010364572607,-66.87697988429387
43,2023-08-24 22:14:00,89.05,89.03,89.05,89.03,31181,1692886440,1.0,,,,,,,,,,21.479993814351765,5.824330376287051,105.17010364572607,-67.59632541076745
44,2023-08-24 22:15:00,89.01,89.09,89.09,89.01,21201,1692886500,,,,,,,,,,,17.676275341409628,4.821193784543041,105.17010364572607,-68.50218460098542
