,0
code,AMD
trade_days,10
win_days,1
win_sells,2
lose_sells,14
max_1d_profit,155.032999999998
max_1d_lost,-549.8420000000042
start_day,20240102
end_day,20240801
start_cash,100000
end_cash,98070.90799999994
total_profit_rate,-0.019290920000000655
buy_nums,17
sell_nums,16
avg_win_sell_profit,180.17500000000106
avg_lose_sell_profit,-163.53157142857347
