,dt,open,close,high,low,vol,ts
0,2022-12-16 22:31:00,87.82,87.62,87.92,86.28,708942,1671201060
1,2022-12-16 22:32:00,87.92,88.62,88.67,87.895,602232,1671201120
2,2022-12-16 22:33:00,88.66,88.2,88.66,88.2,323301,1671201180
3,2022-12-16 22:34:00,88.39,89.04,89.04,88.39,352456,1671201240
4,2022-12-16 22:35:00,89.02,89.13,89.25,89.0,286004,1671201300
5,2022-12-16 22:36:00,89.145,89.325,89.325,89.11,202240,1671201360
6,2022-12-16 22:37:00,89.48,89.29,89.51,89.21,340645,1671201420
7,2022-12-16 22:38:00,89.18,89.04,89.18,88.88,231461,1671201480
8,2022-12-16 22:39:00,88.83,88.6,88.83,88.6,182893,1671201540
9,2022-12-16 22:40:00,88.71,88.59,88.71,88.56,121849,1671201600
10,2022-12-16 22:41:00,88.616,88.15,88.62,88.15,176255,1671201660
11,2022-12-16 22:42:00,88.1,88.12,88.165,88.1,263794,1671201720
12,2022-12-16 22:43:00,88.22,88.41,88.428,88.19,225254,1671201780
13,2022-12-16 22:44:00,88.23,88.43,88.47,88.2,200081,1671201840
14,2022-12-16 22:45:00,88.465,88.27,88.465,88.2,74141,1671201900
15,2022-12-16 22:46:00,88.27,87.88,88.27,87.8,142104,1671201960
16,2022-12-16 22:47:00,87.83,87.36,87.83,87.36,232408,1671202020
17,2022-12-16 22:48:00,87.18,87.51,87.51,87.04,252839,1671202080
18,2022-12-16 22:49:00,87.48,87.41,87.51,87.38,121827,1671202140
19,2022-12-16 22:50:00,87.51,87.93,87.93,87.51,148806,1671202200
20,2022-12-16 22:51:00,87.86,87.98,87.98,87.81,112233,1671202260
21,2022-12-16 22:52:00,87.88,87.91,87.91,87.73,105501,1671202320
22,2022-12-16 22:53:00,87.94,87.93,87.95,87.86,68565,1671202380
23,2022-12-16 22:54:00,87.9,88.08,88.08,87.9,90759,1671202440
24,2022-12-16 22:55:00,87.92,88.01,88.04,87.9,109581,1671202500
25,2022-12-16 22:56:00,88.05,87.975,88.05,87.86,88786,1671202560
26,2022-12-16 22:57:00,87.96,88.04,88.06,87.96,58730,1671202620
27,2022-12-16 22:58:00,87.98,88.005,88.02,87.92,37695,1671202680
28,2022-12-16 22:59:00,88.11,88.03,88.11,88.03,158341,1671202740
29,2022-12-16 23:00:00,87.93,87.68,87.93,87.68,83769,1671202800
30,2022-12-16 23:01:00,87.57,87.435,87.57,87.402,107136,1671202860
31,2022-12-16 23:02:00,87.42,87.465,87.465,87.36,78146,1671202920
32,2022-12-16 23:03:00,87.48,87.26,87.48,87.26,75867,1671202980
33,2022-12-16 23:04:00,87.255,87.27,87.35,87.21,90309,1671203040
34,2022-12-16 23:05:00,87.41,87.39,87.41,87.35,58308,1671203100
35,2022-12-16 23:06:00,87.405,87.316,87.405,87.316,39581,1671203160
36,2022-12-16 23:07:00,87.28,87.101,87.28,87.06,84130,1671203220
37,2022-12-16 23:08:00,87.047,86.847,87.07,86.847,84944,1671203280
38,2022-12-16 23:09:00,86.84,86.94,87.055,86.84,100007,1671203340
39,2022-12-16 23:10:00,86.931,86.917,86.965,86.917,71806,1671203400
40,2022-12-16 23:11:00,86.87,86.79,86.92,86.79,62371,1671203460
41,2022-12-16 23:12:00,86.78,86.64,86.78,86.63,82798,1671203520
42,2022-12-16 23:13:00,86.634,86.6,86.7,86.6,52625,1671203580
43,2022-12-16 23:14:00,86.56,86.54,86.68,86.54,94966,1671203640
44,2022-12-16 23:15:00,86.52,86.5,86.54,86.43,59026,1671203700
45,2022-12-16 23:16:00,86.51,86.67,86.68,86.51,74385,1671203760
46,2022-12-16 23:17:00,86.695,86.755,86.81,86.665,59282,1671203820
