,0
code,MSFT
trade_days,8
win_days,2
win_sells,2
lose_sells,12
max_1d_profit,141.0239999999925
max_1d_lost,-620.9100000000104
start_day,20240102
end_day,20240801
start_cash,100000
end_cash,98861.74899999995
total_profit_rate,-0.011382510000000456
buy_nums,14
sell_nums,14
avg_win_sell_profit,114.73749999999825
avg_lose_sell_profit,-113.97716666666851
