,0
code,AMD
trade_days,15
win_days,4
win_sells,7
lose_sells,21
max_1d_profit,422.9300000000039
max_1d_lost,-726.6840000000038
start_day,20240102
end_day,20240801
start_cash,100000
end_cash,98170.38599999997
total_profit_rate,-0.01829614000000035
buy_nums,28
sell_nums,28
avg_win_sell_profit,212.19857142857134
avg_lose_sell_profit,-157.8573333333348
