,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
176,2024-01-31 01:27:00,173.56,173.32,173.772,173.32,450756,78152704.0,1706635620,,,,,,,1.0,,,,-20.673682056541608,18.528427002820607,0.6387142857142842,17.405262175828085,-78.59631934701301,1,0,50014.72,173.56:288.0;,173.56:288.0;,,0.0,173.56;
178,2024-01-31 01:29:00,173.704,173.87,173.87,173.635,293084,50898432.0,1706635740,,,,,1.0,,,,,,-18.714608044142395,18.528427002820607,0.6387142857142842,17.405262175828085,-78.10924139477176,1,0,161.67199999999866,173.56:288.0;173.704:287.0;,173.704:287.0;,,0.0,173.704;173.704;
183,2024-01-31 01:34:00,173.27,172.836,173.3,172.836,561344,97102848.0,1706636040,,,,,,,,,,,-18.3986873962912,13.663939884001252,0.651214285714285,11.640533244621253,-76.47105872210616,0,0,99791.92199999999,,,173.27:288.0;173.27:287.0;,-208.077999999997,
264,2024-01-31 02:55:00,170.22,170.43,170.43,170.04,358208,60945408.0,1706640900,,,1.0,,,,,,,,4.563868913017743,-10.86616081377604,0.7042857142857132,3.4363040238959,-3.350646555155889,1,0,49917.46199999999,170.22:293.0;,170.22:293.0;,,0.0,170.22;
276,2024-01-31 03:07:00,170.85,170.67,170.85,170.67,298816,51088384.0,1706641620,,,,,,,,,,,44.65676712790956,-7.286880707993816,0.7133571428571405,0.4047910040660269,80.39543755722814,0,0,99976.51199999999,,,170.85:293.0;,184.58999999999867,
9,2024-03-12 21:40:00,196.85,196.32,196.855,196.17,423109,83123584.0,1710250800,,,,,,,1.0,,1.0,,26.999784993527623,17.530564699024836,1.125785714285716,-3.918684973801661,-73.91257109907922,1,0,50173.46199999999,196.85:253.0;,196.85:253.0;,,0.0,196.85;
10,2024-03-12 21:41:00,196.27,196.035,196.27,195.899,279216,54769024.0,1710250860,,,,,,,,,,,20.73121126689854,17.530564699024836,1.125785714285716,-3.918684973801661,-75.58744906515496,0,0,99829.772,,,196.27:253.0;,-146.73999999999597,
20,2024-03-12 21:51:00,195.78,196.43,196.43,195.64,467059,91544064.0,1710251460,,,,,1.0,,,,,,-2.029171721718825,15.007432581095776,1.3146428571428612,-3.918684973801661,-70.85860290641439,1,0,49905.871999999996,195.78:255.0;,195.78:255.0;,,0.0,195.78;
31,2024-03-12 22:02:00,197.76,198.29,198.29,197.76,266474,52778240.0,1710252120,,1.0,,,,,,,,,37.49299362540866,25.38439300974771,1.4525000000000026,-3.6497839662550007,75.640685169768,0,1,75219.152,195.78:127.0;,,197.76:128;,253.4399999999987,198.01;
40,2024-03-12 22:11:00,198.27,198.29,198.29,198.21,226767,44952832.0,1710252660,,,,,,,,,,,57.92835885994462,34.69800579577043,1.519357142857148,-3.6497839662550007,69.45419906137091,0,0,100399.44200000001,,,198.27:127.0;,316.23000000000116,
46,2024-03-13 22:17:00,193.74,192.89,193.74,192.72,630604,121919744.0,1710339420,,,,,,,1.0,,,,-9.137940720946707,7.930017418352293,1.781785714285712,19.01633858366704,-76.267981926428,1,0,50220.78200000001,193.74:259.0;,193.74:259.0;,,0.0,193.74;
47,2024-03-13 22:18:00,192.77,193.2,193.445,192.77,541380,104612352.0,1710339480,,,,,,,,,,,-8.083416524204686,7.930017418352293,1.781785714285712,19.01633858366704,-76.92575843259094,0,0,100148.212,,,192.77:259.0;,-251.2299999999997,
224,2024-03-15 01:15:00,189.269,189.588,189.588,189.269,313968,59442176.0,1710436500,,,,,1.0,,,,,,-8.943914184708397,-7.57093568336667,0.5745714285714294,3.077444843068413,-77.61653075194118,1,0,50181.195999999996,189.269:264.0;,189.269:264.0;,,0.0,189.269;
226,2024-03-15 01:17:00,189.2,189.24,189.38,189.2,180256,34085888.0,1710436620,,,,,,,,,,,-10.793033771867712,-7.57093568336667,0.5745714285714294,3.077444843068413,-76.39556669723055,0,0,100129.99599999998,,,189.2:264.0;,-18.216000000004442,
233,2024-03-15 01:24:00,188.665,188.74,188.84,188.665,213272,40226304.0,1710437040,,,,,,,1.0,,,,-9.345607196518031,-9.546639098662716,0.5794285714285711,3.077444843068413,-72.50083220714879,1,0,50133.770999999986,188.665:265.0;,188.665:265.0;,,0.0,188.665;
