,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao
0,2023-09-11 21:31:00,40.913,41.008,41.013,40.473,4631564,1694439060,,,,,,,,,,,109.69825659423799,-4.570628993240973,39.97586241387051,77.75586899404787
1,2023-09-11 21:32:00,40.993,40.946,41.023,40.933,682029,1694439120,,,,,,,,,,,111.85959829345715,-4.570628993240973,39.97586241387051,80.3158640818464
2,2023-09-11 21:33:00,40.898,41.023,41.023,40.898,411747,1694439180,,,,,,,,,,,114.70544101124665,-4.570628993240973,39.97586241387051,80.65055257952264
3,2023-09-11 21:34:00,41.013,41.108,41.108,40.972,597910,1694439240,,,,,,,,,,,117.11912870758219,-4.570628993240973,39.97586241387051,80.8096548847802
4,2023-09-11 21:35:00,41.105,41.003,41.118,41.003,600120,1694439300,,,,,,,,,,,117.69015189009586,10.670808777407984,39.97586241387051,80.52124392075397
5,2023-09-11 21:36:00,41.033,41.04,41.063,41.033,397404,1694439360,,,,,,,,,,,118.54339071788891,10.670808777407984,39.97586241387051,79.43217821451245
6,2023-09-11 21:37:00,41.043,40.928,41.053,40.928,413904,1694439420,,,,,,,,,,,117.76377053684283,10.670808777407984,39.97586241387051,78.49507849908039
7,2023-09-11 21:38:00,40.925,40.792,40.948,40.792,561515,1694439480,,,,,,,,,,,115.18709779148261,10.670808777407984,39.97586241387051,76.72465265884313
8,2023-09-11 21:39:00,40.812,40.743,40.812,40.743,409925,1694439540,,,,,,,,,,,112.15173143237826,10.670808777407984,39.97586241387051,73.72683650883373
9,2023-09-11 21:40:00,40.717,40.623,40.738,40.623,416839,1694439600,,,,,,,,,,,107.80809742558175,19.50475142713705,39.97586241387051,70.0743408182511
10,2023-09-11 21:41:00,40.683,40.623,40.713,40.623,546597,1694439660,,,,,,,,,,,103.84244973380098,19.50475142713705,39.97586241387051,63.97806100227794
11,2023-09-11 21:42:00,40.628,40.601,40.628,40.583,369230,1694439720,,,,,,,,,,,99.94246147962741,19.50475142713705,39.97586241387051,57.640518957434196
12,2023-09-11 21:43:00,40.648,40.643,40.648,40.613,422245,1694439780,,,,,,,,,,,96.92859737513103,19.50475142713705,39.97586241387051,50.56000797939226
13,2023-09-11 21:44:00,40.642,40.593,40.642,40.553,390435,1694439840,1.0,,,,,,,,,,93.46843897886822,19.50475142713705,39.97586241387051,46.455077506571904
14,2023-09-11 21:45:00,40.638,40.563,40.638,40.563,372876,1694439900,,,,,,,,,,,89.9382406687281,26.653375414097198,39.97586241387051,39.76033633297701
15,2023-09-11 21:46:00,40.593,40.553,40.603,40.553,447395,1694439960,,,,,,,,,,,86.61196883090471,26.653375414097198,39.97586241387051,31.85818856885621
16,2023-09-11 21:47:00,40.448,40.452,40.453,40.413,666252,1694440020,,,,,,,,,,,82.3000449612785,26.653375414097198,39.97586241387051,24.684579396818766
17,2023-09-11 21:48:00,40.518,40.468,40.518,40.468,396025,1694440080,,,,,,,,,,,78.62915324162734,26.653375414097198,39.97586241387051,8.885373202489905
18,2023-09-11 21:49:00,40.478,40.453,40.478,40.423,273057,1694440140,,,,,,,,,1.0,,75.13749132921279,26.653375414097198,39.97586241387051,-0.33883277998235806
19,2023-09-11 21:50:00,40.468,40.523,40.523,40.459,256967,1694440200,,,,,,,,,,,72.91057008380614,32.537439345949466,39.97586241387051,-7.794218467648069
20,2023-09-11 21:51:00,40.543,40.523,40.557,40.493,359577,1694440260,,,,,1.0,,,,,,70.91239303097845,32.537439345949466,39.97586241387051,-4.753952809244036
21,2023-09-11 21:52:00,40.492,40.482,40.543,40.473,321982,1694440320,,,,,,,,,,,68.59292894338057,32.537439345949466,39.97586241387051,-2.7308607487633236
22,2023-09-11 21:53:00,40.488,40.553,40.57,40.488,417632,1694440380,,,,,,,,,,,67.4378308131505,32.537439345949466,39.97586241387051,-5.892775665030432
23,2023-09-11 21:54:00,40.593,40.628,40.655,40.593,468120,1694440440,,,,,,,,,,,67.3751315482238,32.537439345949466,39.97586241387051,-0.042530496119948344
24,2023-09-11 21:55:00,40.623,40.653,40.668,40.623,391705,1694440500,,,,,,,,,,,67.55476325677387,39.432172096739635,39.97586241387051,11.772734394265214
25,2023-09-11 21:56:00,40.668,40.672,40.693,40.648,302877,1694440560,,,,,,,,,,,67.96267065853209,39.432172096739635,39.97586241387051,21.015542058181943
26,2023-09-11 21:57:00,40.707,40.702,40.707,40.683,402978,1694440620,,,,,,,,,,,68.70251265842654,39.432172096739635,39.97586241387051,27.618589839497194
27,2023-09-11 21:58:00,40.703,40.585,40.703,40.585,394989,1694440680,,,,,,,,,,,67.74933061116752,39.432172096739635,39.97586241387051,33.293786250166285
28,2023-09-11 21:59:00,40.563,40.513,40.563,40.476,269580,1694440740,,,,,,,,,,,65.74225904659792,39.432172096739635,39.97586241387051,26.804170338755146
29,2023-09-11 22:00:00,40.483,40.468,40.488,40.453,321168,1694440800,,,,,,,,,,,63.279274202926814,43.230788055280314,42.72396994983998,14.889946649020075
30,2023-09-11 22:01:00,40.493,40.568,40.568,40.493,446144,1694440860,,,,,,,,,,,62.459827278292266,43.230788055280314,42.72396994983998,1.542633179878416
31,2023-09-11 22:02:00,40.569,40.58,40.639,40.569,282196,1694440920,,,,,,,,,,,61.87549842151617,43.230788055280314,42.72396994983998,3.6401211869941776
32,2023-09-11 22:03:00,40.613,40.643,40.643,40.553,177416,1694440980,,,,,,,,,,,62.230089959338756,43.230788055280314,42.72396994983998,6.170888461924385
33,2023-09-11 22:04:00,40.641,40.62,40.663,40.62,232764,1694441040,,,,,,,,,,,62.238739339101784,43.230788055280314,42.72396994983998,14.154765296613872
34,2023-09-11 22:05:00,40.588,40.588,40.598,40.566,148410,1694441100,,,,,,,,,,,61.81490109558882,48.1186803622618,42.72396994983998,16.43743846741093
35,2023-09-11 22:06:00,40.563,40.524,40.593,40.524,152912,1694441160,,,,,,,,,,,60.53651854654419,48.1186803622618,42.72396994983998,14.40034318997715
36,2023-09-11 22:07:00,40.524,40.483,40.538,40.443,311306,1694441220,,,,,,,,,,,58.84194075287991,48.1186803622618,42.72396994983998,6.22931182041331
37,2023-09-11 22:08:00,40.473,40.453,40.493,40.453,145856,1694441280,,,,,,,,,,,56.796522022969754,48.1186803622618,42.72396994983998,-3.5294764147289706
38,2023-09-11 22:09:00,40.453,40.517,40.517,40.453,222364,1694441340,,,,,,,,,,,55.79908159824899,48.1186803622618,42.72396994983998,-12.638280829439449
39,2023-09-11 22:10:00,40.503,40.493,40.518,40.493,111776,1694441400,,,,,,,,,,,54.374939140074076,51.249708549743374,42.72396994983998,-11.560154949619346
40,2023-09-11 22:11:00,40.523,40.553,40.553,40.483,214996,1694441460,,,,,,,,,,,53.844163191262794,51.249708549743374,42.72396994983998,-13.135079824826473
41,2023-09-11 22:12:00,40.568,40.403,40.593,40.403,356632,1694441520,,,,,,,,,,,50.88628238323966,51.249708549743374,42.72396994983998,-7.722623356192041
42,2023-09-11 22:13:00,40.388,40.303,40.388,40.278,774940,1694441580,,,,,,,,,,,46.70971408854231,51.249708549743374,42.72396994983998,-19.39328030647755
43,2023-09-11 22:14:00,40.293,40.343,40.37,40.293,332448,1694441640,,,,,,,,,,,43.62880055047853,51.249708549743374,42.72396994983998,-34.50177164649228
44,2023-09-11 22:15:00,40.353,40.323,40.358,40.323,167928,1694441700,,,,,,,,,,,34.63544404760803,51.85985480835977,42.72396994983998,-39.2133706669336
45,2023-09-11 22:16:00,40.323,40.348,40.348,40.323,239980,1694441760,,,,,,,,,,,27.23988855748844,51.85985480835977,42.72396994983998,-42.78915793360271
46,2023-09-11 22:17:00,40.333,40.293,40.333,40.293,174368,1694441820,,,,,,,,,,,19.462186111554203,51.85985480835977,42.72396994983998,-43.07477565804909
47,2023-09-11 22:18:00,40.333,40.323,40.333,40.323,235206,1694441880,,,,,,,,,,,13.29092067752076,51.85985480835977,42.72396994983998,-46.00128141025323
48,2023-09-11 22:19:00,40.303,40.338,40.363,40.303,158620,1694441940,,,,,,,,,,,8.221071394830943,51.85985480835977,42.72396994983998,-45.767223607425905
49,2023-09-11 22:20:00,40.368,40.373,40.373,40.351,201354,1694442000,,,,,,,,,,,4.747607549511116,53.00387491204786,42.72396994983998,-44.80134003639296
50,2023-09-11 22:21:00,40.372,40.333,40.373,40.333,212312,1694442060,,,,,,,,,,,0.7979831686814407,53.00387491204786,42.72396994983998,-41.521039281606015
51,2023-09-11 22:22:00,40.329,40.42,40.423,40.329,295460,1694442120,,,,,,,,,,,0.07955830486712046,53.00387491204786,42.72396994983998,-41.51315308069606
52,2023-09-11 22:23:00,40.419,40.443,40.443,40.419,245576,1694442180,,,,,,,,,,,1.4022765273089703,53.00387491204786,42.72396994983998,-34.64979180078475
53,2023-09-11 22:24:00,40.463,40.348,40.463,40.348,329756,1694442240,,,,,,,,,,,-0.31129897415995345,53.00387491204786,42.72396994983998,-26.891342927569937
54,2023-09-11 22:25:00,40.368,40.394,40.394,40.368,201352,1694442300,,,,,,,,,,,0.4530865039302654,54.25578920820418,42.72396994983998,-30.156707359575208
55,2023-09-11 22:26:00,40.447,40.495,40.495,40.447,233480,1694442360,,,,,,,,,,,5.80608535841921,54.25578920820418,42.72396994983998,-27.563729557626225
56,2023-09-11 22:27:00,40.54,40.528,40.54,40.523,222326,1694442420,,,,,,,,,,,12.138235009412114,54.25578920820418,42.72396994983998,-14.617588589474593
57,2023-09-11 22:28:00,40.568,40.531,40.568,40.508,271966,1694442480,,,,,,,,,,,17.992937609101844,54.25578920820418,42.72396994983998,-1.1072962291613235
58,2023-09-11 22:29:00,40.529,40.573,40.593,40.529,290678,1694442540,,,,,,,,,,,25.146191617472866,54.25578920820418,42.72396994983998,7.991381239972316
59,2023-09-11 22:30:00,40.58,40.573,40.58,40.548,172054,1694442600,,,,,,,,,,,31.57133011875203,57.60068642946716,45.72747434550386,18.161010941112696
60,2023-09-11 22:31:00,40.493,40.425,40.493,40.404,452736,1694442660,,,,,,,,,,,30.740532347403686,57.60068642946716,45.72747434550386,22.918374567882555
61,2023-09-11 22:32:00,40.413,40.313,40.413,40.303,335674,1694442720,,,,,,,,,,,25.043101752396552,57.60068642946716,45.72747434550386,8.874671928015102
62,2023-09-11 22:33:00,40.333,40.362,40.368,40.333,205804,1694442780,,,,,,,,,,,22.187818200960535,57.60068642946716,45.72747434550386,-14.504319678523121
63,2023-09-11 22:34:00,40.353,40.383,40.389,40.341,139930,1694442840,,,,,,,,,,,20.6244694711273,57.60068642946716,45.72747434550386,-23.205707427542794
